"code CNIS";"sigle type formation";"libellé type formation";"libellé formation principal";"sigle formation";durée;"code RNCP";"niveau RNCP";"libellé niveau RNCP";tutelle;"lien site onisep.fr";domaine/sous-domaine
;;"formation d'école spécialisée";"Chargé d'accompagnement social et professionnel";;"2 ans";7426;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6913;"santé - social - sport/travail social"
;FCIL;"formation complémentaire d'initiative locale";"FCIL Art textile et spectacle vivant";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7172;"arts, culture, artisanat/artisanat d'art| arts, culture, artisanat/arts du spectacle"
;;"formation d'école spécialisée";"Manager social média et webmarketing";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6830;"information-communication, audiovisuel/communication| commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing - vente"
310;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme en économie financière et managériale (programme MSc Management, Economics and Finance)";;"2 ans";;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7338;"banque - assurances - immobilier/banque| banque - assurances - immobilier/finances| économie - droit - politique/sciences économiques"
;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure d'ingénieurs de Bretagne-Sud de l'université de Bretagne-Sud spécialité mécatronique en partenariat avec l'ITII Bretagne";ENSIBS;"3 ans";35798;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6940;"mécanique/automatismes| électricité - électronique - robotique/électronique| mécanique/mécanique (généralités)"
;;master;"master mention lettres et langues";;"2 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6749;"lettres, langues - enseignement/lettres - linguistique"
310;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme de Paris School of Business programme grande école";;"5 ans";34665;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.1369;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/marketing - vente"
312;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme de Neoma BS programme de formation internationale en management (Global BBA)";"GLOBAL BBA";"4 ans";23737;2;"niveau 6 (bac + 3)";"Chambre de commerce et d'industrie";http://www.onisep.fr/http/redirection/formation/slug/FOR.936;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/commerce international| commerce, marketing, vente/marketing - vente"
312;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme de Neoma BS programme grande école";;"3 ans";22162;1;"niveau 7 (bac + 5)";"Chambre de commerce et d'industrie";http://www.onisep.fr/http/redirection/formation/slug/FOR.1276;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/marketing - vente"
242;BP;"brevet professionnel";"BP Vêtement sur mesure option B tailleur homme";;"2 ans";1016;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5450;"matières premières, fabrication, industries/textile - habillement"
333;;agrégation;"Préparation à l'agrégation de langues vivantes étrangères option arabe";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.5747;"lettres, langues - enseignement/enseignement| lettres, langues - enseignement/langues"
224;CAP;"Certificat d'aptitude professionnelle";"CAP Arts et techniques du verre option vitrailliste";;"2 ans";525;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5917;"arts, culture, artisanat/artisanat d'art"
134;;"formation d'école spécialisée";"Certificat de spécialisation en art design et luxe";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4111;"arts, culture, artisanat/arts graphiques"
313;MSc;"master of science";"MSc Finance and Big Data";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4179;"banque - assurances - immobilier/assurances| informatique, internet/bases de données| banque - assurances - immobilier/finances"
312;DU;"diplôme d'université";"DU Master of Science Management of the flavor and fragrance industry";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4285;"commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing - vente"
323;DMA;"diplôme des métiers d'art";"DMA Cirque";;"2 ans";838;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.442;"arts, culture, artisanat/arts du spectacle"
242;FCIL;"formation complémentaire d'initiative locale";"FCIL Costumes du spectacle";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4429;"arts, culture, artisanat/arts du spectacle"
320;DU;"diplôme d'université";"DU Communication";;"1 an";;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4427;"information-communication, audiovisuel/communication| information-communication, audiovisuel/multimédia"
310;;"formation d'école spécialisée";"Manager en entrepreneuriat et management stratégique";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4502;"gestion des entreprises, comptabilité/administration de l'entreprise"
227;TP;"titre professionnel";"TP technicien d'installation en équipements de confort climatique";;"1 an";35231;4;"niveau 4 (bac ou équivalent)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4544;"environnement - énergies - propreté/énergies"
227;"mastère spé.";"mastère spécialisé";"mastère spé. Petroleum data management (IFP School - ENG Géomatique)";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4613;"informatique, internet/bases de données| environnement - énergies - propreté/énergies| histoire-géographie, psychologie, sociologie/géographie| environnement - énergies - propreté/gestion de l'eau"
123;;licence;"licence mention sciences sociales";;"3 ans";24465;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4679;"gestion des entreprises, comptabilité/administration de l'entreprise| histoire-géographie, psychologie, sociologie/géographie| histoire-géographie, psychologie, sociologie/histoire| économie - droit - politique/sciences économiques| histoire-géographie, psychologie, sociologie/sciences sociales"
320;;licence;"licence mention études culturelles";;"3 ans";;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4686;"arts, culture, artisanat/activités culturelles"
251;CAP;"Certificat d'aptitude professionnelle";"CAP Armurerie (fabrication et réparation)";;"2 ans";513;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.480;"mécanique/mécanique (généralités)| mécanique/travail des métaux"
312;;licence;"licence mention administration et échanges internationaux";;"3 ans";28038;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4885;"commerce, marketing, vente/commerce international"
128;;magistère;"magistère Juriste d'affaires interne et européen";;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.489;"économie - droit - politique/droit (généralités)| économie - droit - politique/droit international| économie - droit - politique/droit privé"
326;;master;"master mention informatique";;"2 ans";34126;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5112;"informatique, internet/informatique (généralités)"
323;;master;"master mention ingénierie de l'image, ingénierie du son";;"2 ans";31497;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5115;"information-communication, audiovisuel/audiovisuel"
331;;"licence professionnelle";"licence pro mention maintenance et technologie : technologie médicale et biomédicale";;"1 an";30093;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5201;"santé - social - sport/santé (généralités)"
325;;master;"master mention information, documentation";;"2 ans";34107;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5197;"information-communication, audiovisuel/bibliothèque - documentation"
136;DU;"diplôme d'université";"DU Métiers et langue bretonne";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.403;"lettres, langues - enseignement/langues"
320;;"formation d'école spécialisée";"Presse écrite internet";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4036;"information-communication, audiovisuel/journalisme - édition - publicité| information-communication, audiovisuel/multimédia"
310;;"formation d'école spécialisée";"MBA management et énergie";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4128;"gestion des entreprises, comptabilité/administration de l'entreprise| environnement - énergies - propreté/énergies"
310;DU;"diplôme d'université";"DU Master of Science management général";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4240;"gestion des entreprises, comptabilité/administration de l'entreprise"
134;;"formation d'école spécialisée";"Concepteur directeur artistique";;"3 ans";32053;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4314;"arts, culture, artisanat/arts graphiques"
313;;"formation d'école spécialisée";"Master of Science in Financial Markets and Technologies";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4352;"banque - assurances - immobilier/finances"
335;;"diplôme professionnel de l'animation et du sport";"Diplôme d'Etat d'alpinisme-accompagnateur en moyenne montagne";;"3 ans";34451;3;"niveau 5 (bac + 2)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.4470;"armée, sécurité/sécurité prévention| santé - social - sport/sport"
227;"mastère spé.";"mastère spécialisé";"mastère spé. Efficacité énergétique et environnementale (CESI Ecole d'ingénieurs)";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4476;"environnement - énergies - propreté/énergies| environnement - énergies - propreté/environnement (généralités)"
312;;"formation d'école spécialisée";"Bachelor of Arts (Hons) in Global Business (diplôme délivré par l'université de Coventry - GB)";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4606;"commerce, marketing, vente/commerce international"
331;DU;"diplôme d'université";"DU Préparation aux professions de santé";DUPPS;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4605;"santé - social - sport/paramédical"
133;;licence;"licence mention musicologie";;"3 ans";24480;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4664;"arts, culture, artisanat/arts du spectacle"
230;;master;"master mention génie civil";;"2 ans";34114;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4662;"construction - architecture - travaux publics/génie civil"
134;;licence;"licence mention histoire de l'art et archéologie";;"3 ans";24432;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4741;"histoire-géographie, psychologie, sociologie/histoire| arts, culture, artisanat/histoire de l'art"
131;;master;"master mention littérature générale et comparée";;"2 ans";31581;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4742;"lettres, langues - enseignement/lettres - linguistique"
335;;master;"master mention STAPS : entraînement et optimisation de la performance sportive";STAPS;"2 ans";32169;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4815;"santé - social - sport/sport"
128;;master;"master mention droit comparé";;"2 ans";34088;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4930;"économie - droit - politique/droit (généralités)"
200;;licence;"licence mention sciences pour l'ingénieur";SPI;"3 ans";24538;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4982;"électricité - électronique - robotique/électronique| électricité - électronique - robotique/électrotechnique| construction - architecture - travaux publics/génie civil| matières premières, fabrication, industries/génie industriel| informatique, internet/informatique (généralités)| mécanique/mécanique (généralités)| sciences/physique"
251;CAP;"Certificat d'aptitude professionnelle";"CAP Outillages en outils à découper et à emboutir";;"2 ans";646;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.508;"mécanique/mécanique (généralités)| matières premières, fabrication, industries/métallurgie sidérurgie| mécanique/travail des métaux"
342;;master;"master mention conservation-restauration des biens culturels";;"2 ans";34835;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5165;"arts, culture, artisanat/activités culturelles| arts, culture, artisanat/restauration d'art"
221;MC;"mention complémentaire";"MC Vendeur spécialisé en alimentation";;"1 an";742;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.524;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
335;"BP JEPS";"brevet professionnel de la jeunesse, de l'éducation populaire et du sport";"BP JEPS spécialité éducateur sportif mention activités du canoë-kayak et disciplines associées en eau vive";"BP JEPS";"1 an";28573;4;"niveau 4 (bac ou équivalent)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.5242;"santé - social - sport/sport"
133;;"formation d'école spécialisée";"Classe d'art dramatique (bac + 2)";AD;"2 ans";;0;"non inscrit au RNCP";"Ministère de la Culture et de la communication";http://www.onisep.fr/http/redirection/formation/slug/FOR.525;"arts, culture, artisanat/arts du spectacle"
323;;"formation d'école spécialisée";"Diplôme arts et techniques du théâtre parcours administration du spectacle vivant";ATT;"3 ans";35624;1;"niveau 7 (bac + 5)";"Ministère de la Culture et de la communication";http://www.onisep.fr/http/redirection/formation/slug/FOR.5334;"arts, culture, artisanat/activités culturelles| arts, culture, artisanat/arts du spectacle"
326;;"formation d'école spécialisée";"Bachelor européen en informatique, réseaux et sécurité";DEESIRS;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4049;"informatique, internet/bases de données| information-communication, audiovisuel/multimédia| informatique, internet/systèmes et réseaux"
320;;"formation d'école spécialisée";E-communication;;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4048;"information-communication, audiovisuel/communication| information-communication, audiovisuel/multimédia"
335;;"formation d'école spécialisée";"Formation générale commune aux métiers d'enseignement, d'encadrement et d'entraînement des sports de montagne";FGCMEEESM;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4132;"lettres, langues - enseignement/enseignement| santé - social - sport/sport"
314;;"formation d'école spécialisée";"Master of Science en pilotage de la performance";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4136;"gestion des entreprises, comptabilité/administration de l'entreprise"
325;DU;"diplôme d'université";"DU Archives et métiers des archives";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4259;"information-communication, audiovisuel/bibliothèque - documentation"
321;DU;"diplôme d'université";"DU Photojournalisme, captation et images aériennes";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4316;"information-communication, audiovisuel/audiovisuel| information-communication, audiovisuel/journalisme - édition - publicité"
310;MSc;"master of science";"MSc Data Management (PSB - EFREI)";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4378;"gestion des entreprises, comptabilité/administration de l'entreprise| informatique, internet/bases de données"
210;DU;"diplôme d'université";"DU Technico-commercial en agrofournitures";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4496;"agriculture, animaux/développement agricole| commerce, marketing, vente/marketing - vente"
134;;"formation d'école spécialisée";"Bachelor design espace";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4540;"arts, culture, artisanat/arts appliqués| arts, culture, artisanat/arts graphiques"
133;;"formation d'école spécialisée";"Maquillage artistique professionnel et coiffure pour le spectacle";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4621;"arts, culture, artisanat/arts du spectacle| santé - social - sport/esthétique"
322;BP;"brevet professionnel";"BP Libraire";;"2 ans";7061;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.471;"commerce, marketing, vente/grande distribution et petits commerces"
330;;"licence professionnelle";"licence pro mention services à la personne";;"1 an";29746;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4709;"santé - social - sport/travail social"
120;;master;"master mention études européennes et internationales";;"2 ans";34133;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4764;"commerce, marketing, vente/commerce international| économie - droit - politique/droit international| lettres, langues - enseignement/langues| économie - droit - politique/sciences politiques"
335;;licence;"licence mention sciences et techniques des activités physiques et sportives-activité physique adaptée et santé";STAPS;"3 ans";35944;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4834;"sciences/biologie| santé - social - sport/sport"
326;;master;"master mention mathématiques et informatique appliquées aux sciences humaines et sociales";MIASHS;"2 ans";34220;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4833;"informatique, internet/informatique (généralités)| sciences/mathématiques| économie - droit - politique/sciences économiques| histoire-géographie, psychologie, sociologie/sciences humaines et sociales (généralités)"
127;;master;"master mention sciences des religions et sociétés";;"2 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5036;"histoire-géographie, psychologie, sociologie/philosophie"
227;;"licence professionnelle";"licence pro mention métiers de l'énergétique, de l'environnement et du génie climatique";;"1 an";30121;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5061;"environnement - énergies - propreté/énergies"
312;;master;"master mention marketing, vente";;"2 ans";35907;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5159;"commerce, marketing, vente/marketing - vente"
342;;master;"master mention muséologie, muséo-expographie";;"2 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5156;"arts, culture, artisanat/histoire de l'art"
335;"BP JEPS";"brevet professionnel de la jeunesse, de l'éducation populaire et du sport";"BP JEPS spécialité éducateur sportif mention tennis de table";"BP JEPS";"1 an";28573;4;"niveau 4 (bac ou équivalent)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.5263;"santé - social - sport/sport"
335;"BP JEPS";"brevet professionnel de la jeunesse, de l'éducation populaire et du sport";"BP JEPS spécialité animateur mention éducation à l'environnement vers un développement durable";"BP JEPS";"1 an";28557;4;"niveau 4 (bac ou équivalent)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.5262;"environnement - énergies - propreté/environnement (généralités)| santé - social - sport/travail social"
232;CAP;"Certificat d'aptitude professionnelle";"CAP Développement option 2 construction et entretien des bâtiments (Polynésie française, Nouvelle-Calédonie, Mayotte)";;"2 ans";;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5324;"construction - architecture - travaux publics/génie civil, construction (généralités)| banque - assurances - immobilier/immobilier| matières premières, fabrication, industries/maintenance - qualité"
251;CAP;"Certificat d'aptitude professionnelle";"CAP Développement option 1 fabrication et entretien mécanique (Polynésie française, Nouvelle-Calédonie)";;"2 ans";;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5328;"matières premières, fabrication, industries/fabrication - productique| matières premières, fabrication, industries/maintenance - qualité| mécanique/mécanique (généralités)"
333;;"formation d'école spécialisée";"Sciences humaines et sociales spécialité éducation formation - enseignement 1er degré - enfances (master d'établissement)";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6201;"lettres, langues - enseignement/enseignement"
335;"BP JEPS";"brevet professionnel de la jeunesse, de l'éducation populaire et du sport";"BP JEPS spécialité éducateur sportif mention sports de glace option disciplines d'expression sur glace";;"1 an";28573;4;"niveau 4 (bac ou équivalent)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6320;"santé - social - sport/sport"
335;DESJEPS;"diplôme d'Etat supérieur de la jeunesse, de l'éducation populaire et du sport";"DESJEPS spécialité performance sportive mention ski nautique et disciplines associées";;"2 ans";4911;2;"niveau 6 (bac + 3)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6385;"santé - social - sport/sport"
335;DESJEPS;"diplôme d'Etat supérieur de la jeunesse, de l'éducation populaire et du sport";"DESJEPS spécialité performance sportive mention football américain";;"2 ans";4911;2;"niveau 6 (bac + 3)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6386;"santé - social - sport/sport"
335;DEJEPS;"diplôme d'Etat de la jeunesse, de l'éducation populaire et du sport";"DEJEPS perfectionnement sportif mention natation synchronisée";;"2 ans";4863;3;"niveau 5 (bac + 2)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6478;"santé - social - sport/sport"
335;DEJEPS;"diplôme d'Etat de la jeunesse, de l'éducation populaire et du sport";"DEJEPS perfectionnement sportif mention boxe";;"2 ans";4863;3;"niveau 5 (bac + 2)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6473;"santé - social - sport/sport"
312;;"formation d'école spécialisée";"Responsable de centre de profit en distribution";;"1 an";29441;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.673;"commerce, marketing, vente/grande distribution et petits commerces"
310;;"formation d'école spécialisée";"MBA Technology and entrepreneurship";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.677;"gestion des entreprises, comptabilité/administration de l'entreprise| matières premières, fabrication, industries/fonction production (généralités)"
255;TP;"titre professionnel";"TP technicien du bâtiment communicant et connecté";;"2 ans";35330;4;"niveau 4 (bac ou équivalent)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7052;"électricité - électronique - robotique/électronique| électricité - électronique - robotique/électrotechnique| construction - architecture - travaux publics/équipement technique"
334;;"formation d'école spécialisée";"European Bachelor in hotel and tourism management";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7045;"hôtellerie - restauration - tourisme/hôtellerie| hôtellerie - restauration - tourisme/tourisme"
231;TP;"titre professionnel";"TP technicien supérieur géomètre topographe option entreprise de travaux publics";;"2 ans";1829;3;"niveau 5 (bac + 2)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.7137;"construction - architecture - travaux publics/bureau d'études BTP| sciences/sciences de la Terre"
326;;"formation d'école spécialisée";"Bachelor big data et management";;"4 ans";;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7233;"gestion des entreprises, comptabilité/administration de l'entreprise| informatique, internet/informatique (généralités)"
310;;"formation d'école spécialisée";"Master of Science  Wine Management";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7346;"gestion des entreprises, comptabilité/administration de l'entreprise| matières premières, fabrication, industries/agroalimentaire"
334;;"formation d'école spécialisée";"MBA tourisme et hôtellerie";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.762;"hôtellerie - restauration - tourisme/hôtellerie| hôtellerie - restauration - tourisme/tourisme"
134;;"formation d'école spécialisée";"Design d'objets";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.767;"arts, culture, artisanat/arts graphiques"
242;FCIL;"formation complémentaire d'initiative locale";"FCIL Toiliste patronnière";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.824;"matières premières, fabrication, industries/textile - habillement"
326;"mastère spé.";"mastère spécialisé";"mastère spé. Networks and Information Security (ESIEA)";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.902;"informatique, internet/systèmes et réseaux| information-communication, audiovisuel/technologies de l'information"
136;DU;"diplôme d'université";"DU Polonais";;"3 ans";;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.987;"lettres, langues - enseignement/langues"
335;"BP JEPS";"brevet professionnel de la jeunesse, de l'éducation populaire et du sport";"BP JEPS spécialité activités nautiques mention monovalente voile";;"1 an";1964;4;"niveau 4 (bac ou équivalent)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6294;"santé - social - sport/sport"
335;"BP JEPS";"brevet professionnel de la jeunesse, de l'éducation populaire et du sport";"BP JEPS spécialité activités nautiques mention char à voile d'initiation et de découverte (mention plurivalente groupe C)";;"1 an";1964;4;"niveau 4 (bac ou équivalent)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6300;"santé - social - sport/sport"
