"code CNIS";"sigle type formation";"libellé type formation";"libellé formation principal";"sigle formation";durée;"code RNCP";"niveau RNCP";"libellé niveau RNCP";tutelle;"lien site onisep.fr";domaine/sous-domaine
232;FCIL;"formation complémentaire d'initiative locale";"FCIL Ornementation mise au point sculpture";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1159;"arts, culture, artisanat/artisanat d'art"
136;;"formation d'école spécialisée";"Assistant(e) de communication et traduction";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1170;"lettres, langues - enseignement/langues"
320;;"formation d'école spécialisée";"Organisateur de mariages et d'événements";;"3 ans";23648;4;"niveau 4 (bac ou équivalent)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1168;"information-communication, audiovisuel/communication"
313;;"formation d'école spécialisée";"Bachelor professions immobilières";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1166;"banque - assurances - immobilier/immobilier"
310;;"formation d'école spécialisée";"Master of Science in digital transformation management";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1178;"gestion des entreprises, comptabilité/administration de l'entreprise| information-communication, audiovisuel/technologies de l'information"
313;MSc;"master of science";"MSc International Finance";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2278;"banque - assurances - immobilier/banque"
320;;"formation d'école spécialisée";"Manager en stratégies des communications";;"1 an";27956;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2429;"information-communication, audiovisuel/communication| information-communication, audiovisuel/journalisme - édition - publicité| commerce, marketing, vente/marketing - vente| information-communication, audiovisuel/multimédia"
255;TP;"titre professionnel";"TP technicien d'équipement et d'exploitation en électricité";;"1 an";30623;4;"niveau 4 (bac ou équivalent)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.3817;"électricité - électronique - robotique/électrotechnique| environnement - énergies - propreté/énergies| construction - architecture - travaux publics/équipement technique"
312;MSc;"master of science";"MSc International Marketing and Business Development";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3815;"commerce, marketing, vente/commerce international| commerce, marketing, vente/marketing - vente"
233;TP;"titre professionnel";"TP carreleur-chapiste";;"1 an";35509;5;"niveau 3 (niveau CAP)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.3894;"construction - architecture - travaux publics/finition"
343;"mastère spé.";"mastère spécialisé";"mastère spé. Management de la qualité, de la sécurité et de l'environnement (CESI Ecole d'ingénieurs)";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1000;"gestion des entreprises, comptabilité/administration de l'entreprise| environnement - énergies - propreté/environnement (généralités)| matières premières, fabrication, industries/maintenance - qualité| armée, sécurité/sécurité prévention"
253;"mastère spé.";"mastère spécialisé";"mastère spé. Ingénierie aéronautique et spatiale, management des applications aéronautiques et spatiales";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1069;"mécanique/aéronautique| matières premières, fabrication, industries/génie industriel"
136;DU;"diplôme d'université";"DU Traduction spécialisée";DUTRAS;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1067;"lettres, langues - enseignement/langues"
212;;"formation d'école spécialisée";Éleveur;;"1 an";5316;4;"niveau 4 (bac ou équivalent)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2253;"agriculture, animaux/élevage - aquaculture"
312;;"formation d'école spécialisée";"Chargé de développement commercial cosmétiques et parfums";;"1 an";27019;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3605;"commerce, marketing, vente/grande distribution et petits commerces"
326;;"formation d'école spécialisée";"Chargé(e) d'exploitation en réseaux et télécoms";;"2 ans";19542;3;"niveau 5 (bac + 2)";"Chambre de commerce et d'industrie";http://www.onisep.fr/http/redirection/formation/slug/FOR.3614;"informatique, internet/systèmes et réseaux| électricité - électronique - robotique/télécommunications"
130;;"formation d'école spécialisée";"Bachelor of fine arts";;"4 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3621;"arts, culture, artisanat/arts graphiques| arts, culture, artisanat/arts plastiques| information-communication, audiovisuel/audiovisuel| histoire-géographie, psychologie, sociologie/histoire| arts, culture, artisanat/histoire de l'art"
310;"mastère spé.";"mastère spécialisé";"mastère spé. Création d'entreprises innovantes (Polytech Orléans)";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3628;"gestion des entreprises, comptabilité/administration de l'entreprise| environnement - énergies - propreté/environnement (généralités)| matières premières, fabrication, industries/fonction production (généralités)| économie - droit - politique/sciences économiques"
310;;"formation d'école spécialisée";"Master of Science in Creative Business and Social Innovation";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3681;"arts, culture, artisanat/activités culturelles| gestion des entreprises, comptabilité/administration de l'entreprise| arts, culture, artisanat/arts appliqués| arts, culture, artisanat/arts du spectacle| arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/audiovisuel"
131;DU;"diplôme d'université";"DU Études françaises contemporaines";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3832;"lettres, langues - enseignement/langues"
134;;"formation d'école spécialisée";"Illustrateur graphiste";;"3 ans";30395;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3944;"arts, culture, artisanat/arts graphiques"
133;;"formation d'école spécialisée";"Chargé de communication, d'administration et de commercialisation de la musique (IMM)";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2765;"arts, culture, artisanat/arts du spectacle"
132;;"formation d'école spécialisée";"Bachelor création et design";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2762;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/multimédia"
315;;"formation d'école spécialisée";"MBA spécialisé en gestion des ressources humaines";MBA;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2826;"gestion des entreprises, comptabilité/administration de l'entreprise| gestion des entreprises, comptabilité/ressources humaines"
320;;"formation d'école spécialisée";"MBA E-Business";MBA;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2824;"commerce, marketing, vente/grande distribution et petits commerces"
310;;"formation d'école spécialisée";"MBA management stratégique et international du luxe";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.282;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/marketing - vente"
331;;"formation d'école spécialisée";"orthopédiste orthésiste (SNOF)";;"2 ans";34991;3;"niveau 5 (bac + 2)";"Ministère des Solidarités et de la Santé";http://www.onisep.fr/http/redirection/formation/slug/FOR.2887;"santé - social - sport/paramédical"
321;;"formation d'école spécialisée";"Bachelor design et stratégie digitale";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2895;"arts, culture, artisanat/arts graphiques"
200;"mastère spé.";"mastère spécialisé";"mastère spé. Intégration des systèmes de management qualité, hygiène, sécurité et environnement";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2963;"gestion des entreprises, comptabilité/administration de l'entreprise| environnement - énergies - propreté/déchets, pollutions et risques| environnement - énergies - propreté/environnement (généralités)| matières premières, fabrication, industries/fonction production (généralités)| matières premières, fabrication, industries/maintenance - qualité| armée, sécurité/sécurité prévention"
255;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Institut national des sciences appliquées de Lyon spécialité génie électrique en partenariat avec l'ITII de Lyon";INSA;"3 ans";17886;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6195;"mécanique/automatismes| électricité - électronique - robotique/électronique| électricité - électronique - robotique/électrotechnique| environnement - énergies - propreté/énergies| informatique, internet/informatique industrielle et technologique| électricité - électronique - robotique/télécommunications"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École polytechnique universitaire de l'université Paris XI spécialité informatique en partenariat avec l'ITII Ile de France";Polytech;"3 ans";13862;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5411;"informatique, internet/informatique (généralités)"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École d'ingénieurs en sciences industrielles et numérique de l'université de Reims spécialité génie électrique et robotique en partenariat avec l'ITII Champagne-Ardenne";EiSINe;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5718;"mécanique/automatismes| électricité - électronique - robotique/électrotechnique| matières premières, fabrication, industries/fonction production (généralités)| matières premières, fabrication, industries/génie industriel"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Institut national des sciences appliquées de Strasbourg spécialité mécatronique en partenariat avec l'ITII Alsace";INSA;"3 ans";26879;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6128;"mécanique/automatismes| électricité - électronique - robotique/électronique| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/fonction production (généralités)"
220;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'université de Rouen spécialité génie physique en convention avec l'INSA de Rouen";ESITech;"3 ans";19825;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6113;"mécanique/automatismes| informatique, internet/développement - programmation -  logiciel| électricité - électronique - robotique/électronique| environnement - énergies - propreté/énergies| matières premières, fabrication, industries/matériaux| sciences/mathématiques| sciences/physique| logistique - transport/transport"
